#pago;PagoIntereses;PagoCapital;SeguroVida;SeguroDaños;Comision;PagoHip;SeguroCasa;PagoTotal;SaldoCredito
Año;1
175;2,276.83;2,921.09;60.49;123.15;290.00;5,671.56;243.47;5,915.03;256,692.24
176;2,251.21;2,946.71;59.81;123.15;290.00;5,670.88;243.47;5,914.35;253,745.53
177;2,225.37;2,972.55;59.12;123.15;290.00;5,670.19;243.47;5,913.66;250,772.98
178;2,199.30;2,998.62;58.43;123.15;290.00;5,669.50;243.47;5,912.97;247,774.37
179;2,173.00;3,024.92;57.73;123.15;290.00;5,668.80;243.47;5,912.27;244,749.45
180;2,146.48;3,051.44;57.03;123.15;290.00;5,668.10;243.47;5,911.57;241,698.01
Año;16
181;2,119.71;3,078.21;56.32;123.15;290.00;5,667.39;243.47;5,910.86;238,619.80
182;2,092.72;3,105.20;55.60;123.15;290.00;5,666.67;243.47;5,910.14;235,514.60
183;2,065.48;3,132.44;54.87;123.15;290.00;5,665.94;243.47;5,909.41;232,382.16
184;2,038.01;3,159.91;54.15;123.15;290.00;5,665.22;243.47;5,908.69;229,222.25
185;2,010.30;3,187.62;53.41;123.15;290.00;5,664.48;243.47;5,907.95;226,034.63
186;1,982.34;3,215.58;52.67;123.15;290.00;5,663.74;243.47;5,907.21;222,819.06
187;1,954.14;3,243.78;51.92;123.15;290.00;5,662.99;243.47;5,906.46;219,575.28
188;1,925.70;3,272.22;51.16;123.15;290.00;5,662.23;243.47;5,905.70;216,303.06
189;1,897.00;3,300.92;50.40;123.15;290.00;5,661.47;243.47;5,904.94;213,002.14
190;1,868.05;3,329.87;49.63;123.15;290.00;5,660.70;243.47;5,904.17;209,672.27
191;1,838.85;3,359.07;48.85;123.15;290.00;5,659.92;243.47;5,903.39;206,313.19
192;1,809.39;3,388.53;48.07;123.15;290.00;5,659.14;243.47;5,902.61;202,924.66
Año;17
193;1,779.67;3,418.25;47.28;123.15;290.00;5,658.35;243.47;5,901.82;199,506.40
194;1,749.69;3,448.23;46.48;123.15;290.00;5,657.55;243.47;5,901.02;196,058.17
195;1,719.45;3,478.47;45.68;123.15;290.00;5,656.75;243.47;5,900.22;192,579.70
196;1,688.94;3,508.98;44.87;123.15;290.00;5,655.94;243.47;5,899.41;189,070.72
197;1,658.17;3,539.75;44.05;123.15;290.00;5,655.12;243.47;5,898.59;185,530.97
198;1,627.12;3,570.80;43.23;123.15;290.00;5,654.30;243.47;5,897.77;181,960.18
199;1,595.81;3,602.11;42.40;123.15;290.00;5,653.47;243.47;5,896.94;178,358.06
200;1,564.22;3,633.70;41.56;123.15;290.00;5,652.63;243.47;5,896.10;174,724.36
201;1,532.35;3,665.57;40.71;123.15;290.00;5,651.78;243.47;5,895.25;171,058.79
202;1,500.20;3,697.72;39.86;123.15;290.00;5,650.93;243.47;5,894.40;167,361.07
203;1,467.77;3,730.15;39.00;123.15;290.00;5,650.07;243.47;5,893.54;163,630.92
204;1,435.06;3,762.86;38.13;123.15;290.00;5,649.20;243.47;5,892.67;159,868.06
Año;18
205;1,402.06;3,795.86;37.25;123.15;290.00;5,648.32;243.47;5,891.79;156,072.20
206;1,368.77;3,829.15;36.36;123.15;290.00;5,647.43;243.47;5,890.90;152,243.05
207;1,335.19;3,862.73;35.47;123.15;290.00;5,646.54;243.47;5,890.01;148,380.31
208;1,301.31;3,896.61;34.57;123.15;290.00;5,645.64;243.47;5,889.11;144,483.70
209;1,267.14;3,930.78;33.66;123.15;290.00;5,644.73;243.47;5,888.20;140,552.92
210;1,232.66;3,965.26;32.75;123.15;290.00;5,643.82;243.47;5,887.29;136,587.66
211;1,197.89;4,000.03;31.82;123.15;290.00;5,642.89;243.47;5,886.36;132,587.62
212;1,162.81;4,035.11;30.89;123.15;290.00;5,641.96;243.47;5,885.43;128,552.51
213;1,127.42;4,070.50;29.95;123.15;290.00;5,641.02;243.47;5,884.49;124,482.01
214;1,091.72;4,106.20;29.00;123.15;290.00;5,640.07;243.47;5,883.54;120,375.81
215;1,055.71;4,142.21;28.05;123.15;290.00;5,639.12;243.47;5,882.59;116,233.59
216;1,019.38;4,178.54;27.08;123.15;290.00;5,638.15;243.47;5,881.62;112,055.05
Año;19
217;982.73;4,215.19;26.11;123.15;290.00;5,637.18;243.47;5,880.65;107,839.86
218;945.77;4,252.15;25.13;123.15;290.00;5,636.20;243.47;5,879.67;103,587.71
219;908.47;4,289.45;24.14;123.15;290.00;5,635.21;243.47;5,878.68;99,298.26
220;870.85;4,327.07;23.14;123.15;290.00;5,634.21;243.47;5,877.68;94,971.20
221;832.91;4,365.01;22.13;123.15;290.00;5,633.20;243.47;5,876.67;90,606.19
222;794.62;4,403.30;21.11;123.15;290.00;5,632.18;243.47;5,875.65;86,202.89
223;756.01;4,441.91;20.09;123.15;290.00;5,631.16;243.47;5,874.63;81,760.98
224;717.05;4,480.87;19.05;123.15;290.00;5,630.12;243.47;5,873.59;77,280.11
225;677.75;4,520.17;18.01;123.15;290.00;5,629.08;243.47;5,872.55;72,759.94
226;638.11;4,559.81;16.95;123.15;290.00;5,628.02;243.47;5,871.49;68,200.13
227;598.12;4,599.80;15.89;123.15;290.00;5,626.96;243.47;5,870.43;63,600.34
228;557.78;4,640.14;14.82;123.15;290.00;5,625.89;243.47;5,869.36;58,960.20
Año;20
229;517.09;4,680.83;13.74;123.15;290.00;5,624.81;243.47;5,868.28;54,279.36
230;476.04;4,721.88;12.65;123.15;290.00;5,623.72;243.47;5,867.19;49,557.48
231;434.62;4,763.30;11.55;123.15;290.00;5,622.62;243.47;5,866.09;44,794.18
232;392.85;4,805.07;10.44;123.15;290.00;5,621.51;243.47;5,864.98;39,989.11
233;350.71;4,847.21;9.32;123.15;290.00;5,620.39;243.47;5,863.86;35,141.90
234;308.20;4,889.72;8.19;123.15;290.00;5,619.26;243.47;5,862.73;30,252.18
235;265.31;4,932.61;7.05;123.15;290.00;5,618.12;243.47;5,861.59;25,319.57
236;222.05;4,975.87;5.90;123.15;290.00;5,616.97;243.47;5,860.44;20,343.71
237;178.42;5,019.50;4.74;123.15;290.00;5,615.81;243.47;5,859.28;15,324.20
238;134.39;5,063.53;3.57;123.15;290.00;5,614.64;243.47;5,858.11;10,260.68
239;89.99;5,107.93;2.39;123.15;290.00;5,613.46;243.47;5,856.93;5,152.74
240;45.19;5,152.74;1.20;123.15;290.00;5,612.28;243.47;5,855.75;.00
